#,Name,Age Start,Age End,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
,,,,,,,,,,,,,,
26,Logan DeNoble,19.921,20.378,12,6,6,1,12,13,0.5,0.5,0.083,1,1.083
27,Sean Allen,19.406,19.866,14,0,0,0,0,0,0,0,0,0,0
28,Connor Hall,19.568,20.028,10,0,2,1,2,3,0,0.2,0.1,0.2,0.3
29,Nicholas Caamano,19.026,19.486,19,4,4,2,8,10,0.211,0.211,0.105,0.421,0.526
30,Mitchell Byrne,19.538,19.998,17,1,1,1,2,3,0.059,0.059,0.059,0.118,0.176
31,Gabriel Vilardi,18.087,18.547,19,11,9,9,20,29,0.579,0.474,0.474,1.053,1.526
32,Cole Carter,19.198,19.658,21,12,4,3,16,19,0.571,0.19,0.143,0.762,0.905
33,Luke Boka,18.265,18.722,18,7,2,2,9,11,0.389,0.111,0.111,0.5,0.611
34,Jordan Sambrook,19.434,19.894,17,2,2,4,4,8,0.118,0.118,0.235,0.235,0.471
35,Brett Neumann,18.585,19.045,19,5,5,3,10,13,0.263,0.263,0.158,0.526,0.684
36,Brady Gilmour,18.415,18.76,3,0,0,1,0,1,0,0,0.333,0,0.333
37,Kirill Maksimov,18.295,18.755,17,6,8,8,14,22,0.353,0.471,0.471,0.824,1.294
38,Cole Coskey,18.295,18.749,19,5,3,1,8,9,0.263,0.158,0.053,0.421,0.474
39,Cole Fraser,18.067,18.525,10,0,0,0,0,0,0,0,0,0,0
40,Nick Grima,18.53,18.99,15,1,2,3,3,6,0.067,0.133,0.2,0.2,0.4
41,Zach Gallant,18.533,18.976,15,6,2,1,8,9,0.4,0.133,0.067,0.533,0.6
42,C.J. Clarke,18.604,19.064,18,6,1,0,7,7,0.333,0.056,0,0.389,0.389
43,Jacob LeGuerrier,16.816,17.241,14,0,2,2,2,4,0,0.143,0.143,0.143,0.286
44,Noel Hoefenmayer,18.694,19.154,18,1,6,2,7,9,0.056,0.333,0.111,0.389,0.5
45,Austen Keating,18.53,18.99,18,7,6,6,13,19,0.389,0.333,0.333,0.722,1.056
46,Shane Collins,20.57,21.03,17,1,1,1,2,3,0.059,0.059,0.059,0.118,0.176
47,Jacob Paquette,18.311,18.771,19,0,1,2,1,3,0,0.053,0.105,0.053,0.158
48,Jason Robertson,18.155,18.615,19,12,5,4,17,21,0.632,0.263,0.211,0.895,1.105
49,Ryan Cranford,19.439,19.899,19,2,1,5,3,8,0.105,0.053,0.263,0.158,0.421
50,Justin Murray,19.07,19.529,21,0,2,5,2,7,0,0.095,0.238,0.095,0.333
51,Giordano Finoro,19.335,19.661,1,0,0,0,0,0,0,0,0,0,0
52,Zachary Magwood,19.404,19.864,21,6,12,4,18,22,0.286,0.571,0.19,0.857,1.048
53,Aidan Brown,17.983,18.443,21,2,2,1,4,5,0.095,0.095,0.048,0.19,0.238
54,Alan Lyszczarczyk,19.579,20.036,20,6,5,4,11,15,0.3,0.25,0.2,0.55,0.75
55,David Levin,18.002,18.459,18,7,5,2,12,14,0.389,0.278,0.111,0.667,0.778
56,Dmitry Sokolov,19.425,19.885,21,22,11,8,33,41,1.048,0.524,0.381,1.571,1.952
57,Ben Jones,18.555,19.015,21,6,8,6,14,20,0.286,0.381,0.286,0.667,0.952
58,Cam Dineen,19.245,19.705,18,6,2,11,8,19,0.333,0.111,0.611,0.444,1.056
59,Kyle Potts,19.31,19.77,17,1,2,3,3,6,0.059,0.118,0.176,0.176,0.353
60,Justin Brazeau,19.62,20.08,18,9,11,0,20,20,0.5,0.611,0,1.111,1.111
61,Jacob Ball,18.667,19.031,1,0,0,1,0,1,0,0,1,0,1
62,Max Kislinger,19.595,20.055,18,2,0,3,2,5,0.111,0,0.167,0.111,0.278
63,Sasha Chmelevski,18.273,18.733,20,15,7,7,22,29,0.75,0.35,0.35,1.1,1.45
64,Ryan McGregor,18.631,19.059,4,0,1,0,1,1,0,0.25,0,0.25,0.25
65,Theo Calvas,19.113,19.573,18,1,2,4,3,7,0.056,0.111,0.222,0.167,0.389
66,Morgan Frost,18.344,18.804,17,11,13,6,24,30,0.647,0.765,0.353,1.412,1.765
67,Liam Hawel,18.415,18.875,19,6,3,5,9,14,0.316,0.158,0.263,0.474,0.737
68,Robert Thomas,18.21,18.67,14,1,6,7,7,14,0.071,0.429,0.5,0.5,1
69,Sam Miletic,20.37,20.83,21,15,8,5,23,28,0.714,0.381,0.238,1.095,1.333
70,Max Jones,19.579,19.926,5,0,0,0,0,0,0,0,0,0,0
71,Matthew Strome,18.694,19.154,19,10,7,5,17,22,0.526,0.368,0.263,0.895,1.158
72,MacKenzie Entwistle,18.177,18.637,16,5,7,4,12,16,0.312,0.438,0.25,0.75,1
73,Isaac Ratcliffe,18.585,19.045,19,14,4,5,18,23,0.737,0.211,0.263,0.947,1.211
74,Jalen Smereck,20.668,21.128,18,6,7,3,13,16,0.333,0.389,0.167,0.722,0.889
75,Kyle MacLean,18.385,18.845,6,2,4,0,6,6,0.333,0.667,0,1,1
76,Jack Studnicka,18.577,19.037,15,2,12,3,14,17,0.133,0.8,0.2,0.933,1.133
77,Ryan McLeod,17.988,18.448,21,8,5,4,13,17,0.381,0.238,0.19,0.619,0.81
78,Austin Osmanski,19.382,19.839,16,0,1,4,1,5,0,0.062,0.25,0.062,0.312
79,Nicolas Hague,18.782,19.242,21,10,6,5,16,21,0.476,0.286,0.238,0.762,1
80,Brendan Harrogate,19.59,20.05,14,3,1,1,4,5,0.214,0.071,0.071,0.286,0.357
81,Owen Tippett,18.582,19.042,21,13,7,7,20,27,0.619,0.333,0.333,0.952,1.286
82,Luke Kutkevicius,19.48,19.937,15,6,3,1,9,10,0.4,0.2,0.067,0.6,0.667
83,Hudson Wilson,18.374,18.834,19,1,3,2,4,6,0.053,0.158,0.105,0.211,0.316
